id,timezone,venue_id,race_number,distance,condition_id,weather_id,total_pool_one_win,total_pool_one_place,total_pool_two_win,total_pool_two_place,total_pool_three_win,total_pool_three_place
1,2016-06-27 03:00:00,1,3,1200,1,1,29718.08,,11564.5,5373.0,23464.8,5373.0
2,2016-06-27 03:05:00,2,2,1200,2,2,16169.99,,12624.0,3681.0,9001.42,3681.0
3,2016-06-27 03:30:00,1,4,1400,1,1,12282.57,,13233.0,5816.0,24191.1,5816.0
4,2016-06-27 03:40:00,2,3,1400,2,2,13000.05,,14416.5,6568.5,11542.2,6568.5
5,2016-06-27 04:00:00,1,5,1600,1,1,16194.21,,16076.5,6875.5,28934.6,6875.5
6,2016-06-27 04:15:00,2,4,1400,2,2,15451.43,,12491.0,2699.0,10583.2,2699.0
7,2016-06-27 04:30:00,1,6,2100,1,1,33079.34,,18576.5,8536.0,31828.3,8536.0
8,2016-06-27 04:50:00,2,5,1600,2,2,18208.66,,17736.0,7304.5,15228.6,7304.5
9,2016-06-27 05:00:00,1,7,1200,1,1,26881.64,,17378.5,8493.0,31739.1,8493.0
10,2016-06-27 05:25:00,2,6,1600,2,2,19138.8,,22338.5,9272.5,21015.7,9272.5
11,2016-06-27 05:30:00,1,8,1200,1,1,11319.93,,14674.5,7075.0,26750.2,7075.0
12,2016-06-27 06:00:00,1,9,1200,1,1,62305.72,,25695.5,10687.5,43537.3,10687.5
13,2016-06-27 06:05:00,2,7,2000,2,2,7553.31,,22877.5,10102.0,16382.9,10102.0
14,2016-06-27 06:30:00,1,10,1400,1,1,39276.47,,31230.5,13824.5,65498.4,13824.5
15,2016-06-27 06:40:00,2,8,1000,2,2,21657.82,,28719.5,12032.0,22306.0,12032.0
16,2016-06-28 02:27:00,7,1,1250,5,1,52703.89,,8253.5,1809.0,5045.42,1809.0
17,2016-06-28 02:45:00,8,1,1100,3,2,30114.4,,9179.0,3697.0,6430.06,3697.0
18,2016-06-28 03:00:00,9,1,1100,4,2,94041.57,,10111.5,5158.5,21001.3,5158.5
19,2016-06-28 03:05:00,7,2,1000,5,1,8305.03,,6014.0,1636.0,3172.5,1636.0
20,2016-06-28 03:20:00,8,2,1000,3,2,15554.05,,12630.5,5790.5,9480.89,5790.5
21,2016-06-28 03:30:00,9,2,1300,4,2,35569.9,,10246.5,2975.0,18329.3,2975.0
22,2016-06-28 03:40:00,7,3,1450,5,1,25432.6,,15533.5,6085.5,10751.3,6085.5
23,2016-06-28 03:55:00,8,3,1400,3,2,34029.59,,14694.0,6131.5,10115.1,6131.5
24,2016-06-28 04:00:00,9,3,1300,4,2,18215.19,,9357.0,5522.5,16386.3,5522.5
25,2016-06-28 04:15:00,7,4,1900,5,1,36060.21,,21062.5,8935.0,16904.0,8935.0
26,2016-06-28 04:30:00,9,4,2200,4,2,65028.61,,17492.5,8266.5,30419.4,8266.5
27,2016-06-28 04:35:00,8,4,1200,3,2,10603.87,,16553.0,7070.0,10896.3,7070.0
28,2016-06-28 04:50:00,7,5,1450,5,1,22863.74,,17208.0,8678.5,14021.7,8678.5
29,2016-06-28 05:00:00,9,5,2200,4,2,6887.63,,12452.5,6707.0,21928.3,6707.0
30,2016-06-28 05:10:00,8,5,1600,3,2,11204.68,,16470.0,7771.5,7307.87,7771.5
31,2016-06-28 05:25:00,7,6,1250,5,1,22731.24,,20620.0,8629.0,15311.0,8629.0
32,2016-06-28 05:30:00,9,6,1300,4,2,19038.16,,16992.0,8750.0,30997.8,8750.0
33,2016-06-28 05:45:00,8,6,1100,3,2,10429.85,,18416.5,8629.5,15215.5,8629.5
34,2016-06-28 06:00:00,9,7,1000,4,2,42030.47,,19375.0,9849.5,30191.7,9849.5
35,2016-06-28 06:05:00,7,7,1000,5,1,11236.35,,27776.0,11066.5,17617.3,11066.5
36,2016-06-28 06:25:00,8,7,1400,3,2,30570.5,,37362.0,17935.0,24602.2,17935.0
37,2016-06-28 06:30:00,9,8,1200,4,2,13204.9,,22383.0,9465.0,37520.4,9465.0
38,2016-06-29 02:53:00,14,1,1050,6,1,62700.92,,12971.5,3612.0,15475.6,3612.0
39,2016-06-29 03:00:00,15,1,1000,3,1,51512.78,,17889.5,7004.0,33900.8,7004.0
40,2016-06-29 03:08:00,16,1,1000,7,1,25307.78,,7891.5,3572.5,7857.0,3572.5
41,2016-06-29 03:15:00,17,1,1600,6,1,50347.41,,22985.5,6678.5,14667.2,6678.5
42,2016-06-29 03:23:00,14,2,1050,6,1,56710.76,,12999.5,5089.0,12337.0,5089.0
43,2016-06-29 03:30:00,15,2,1000,3,1,71388.64,,23773.0,11056.5,40127.7,11056.5
44,2016-06-29 03:38:00,16,2,1200,7,1,20528.75,,11861.5,3865.0,11277.5,3865.0
